"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2020","228.60","236.00","240.00","228.60","48.47K","-3.05%"
"Jun 15, 2020","235.80","220.00","235.80","211.20","52.21K","-2.72%"
"Jun 12, 2020","242.40","236.40","242.60","234.60","25.57K","1.93%"
"Jun 11, 2020","237.80","245.80","245.80","236.20","25.92K","-3.41%"
"Jun 10, 2020","246.20","245.00","248.20","243.60","9.92K","0.33%"
"Jun 09, 2020","245.40","245.20","246.80","242.60","28.83K","0.00%"
"Jun 08, 2020","245.40","244.40","245.40","240.00","26.62K","0.41%"
"Jun 05, 2020","244.40","245.00","245.20","241.00","65.41K","-0.09%"
"Jun 04, 2020","244.63","244.24","247.40","241.27","65.99K","0.82%"
"Jun 03, 2020","242.65","242.45","245.82","239.09","58.17K","0.16%"
"Jun 02, 2020","242.26","241.07","242.85","238.50","40.80K","2.00%"
"May 29, 2020","237.51","234.54","239.88","230.18","47.82K","1.35%"
"May 28, 2020","234.34","234.54","236.52","231.57","39.25K","0.17%"
"May 27, 2020","233.94","234.54","238.10","231.17","42.96K","-1.09%"
"May 26, 2020","236.52","234.14","238.30","233.35","32.93K","1.10%"
"May 25, 2020","233.94","231.77","233.94","228.80","22.05K","1.29%"
"May 22, 2020","230.98","232.16","233.55","227.61","1.07M","-0.68%"
"May 20, 2020","232.56","227.61","232.56","224.64","69.23K","3.07%"
"May 19, 2020","225.63","225.04","229.19","217.32","77.86K","3.17%"
"May 18, 2020","218.70","209.80","218.70","209.80","38.95K","3.76%"
"May 15, 2020","210.79","214.15","214.15","208.02","28.61K","0.76%"
"May 14, 2020","209.20","217.71","217.71","208.02","35.22K","-3.65%"
"May 13, 2020","217.12","218.70","219.30","211.97","45.12K","-0.54%"
"May 12, 2020","218.31","216.72","225.63","215.74","74.38K","0.82%"
"May 11, 2020","216.53","224.64","232.36","216.33","53.12K","-4.04%"
"May 08, 2020","225.63","221.08","226.62","218.90","38.26K","3.73%"
"May 07, 2020","217.52","211.58","218.90","211.58","37.28K","2.04%"
"May 06, 2020","213.16","207.82","213.16","205.84","33.37K","3.56%"
"May 05, 2020","205.84","207.42","208.81","205.84","38.39K","0.29%"
"May 04, 2020","205.24","200.49","210.59","200.49","39.06K","-0.19%"
"Apr 30, 2020","205.64","204.06","208.41","200.10","79.02K","0.87%"
"Apr 29, 2020","203.86","204.06","205.64","201.09","132.52K","0.29%"
"Apr 28, 2020","203.27","207.42","207.82","200.10","208.67K","-3.57%"
"Apr 27, 2020","210.79","197.92","212.96","193.07","94.97K","2.01%"
"Apr 24, 2020","206.63","211.78","214.55","206.43","128.87K","-2.43%"
"Apr 23, 2020","211.78","210.79","211.78","205.44","85.66K","0.47%"
"Apr 22, 2020","210.79","208.81","210.79","205.24","68.17K","0.95%"
"Apr 21, 2020","208.81","214.74","216.53","208.21","95.93K","-2.59%"
"Apr 20, 2020","214.35","222.46","226.23","212.77","163.76K","-6.80%"
"Apr 17, 2020","229.99","227.61","235.92","226.62","199.66K","1.57%"
"Apr 16, 2020","226.42","227.21","227.21","222.27","42.32K","2.60%"
"Apr 15, 2020","220.68","224.64","224.64","216.72","48.12K","-1.06%"
"Apr 14, 2020","223.06","219.69","224.64","217.12","64.65K","6.93%"
"Apr 08, 2020","208.61","209.80","209.99","205.84","16.78K","-0.38%"
"Apr 07, 2020","209.40","204.85","213.76","204.85","36.95K","2.72%"
"Apr 06, 2020","203.86","198.91","205.44","198.91","35.43K","2.49%"
"Apr 03, 2020","198.91","201.48","201.68","195.74","40.57K","-2.62%"
"Apr 02, 2020","204.26","213.76","218.51","201.68","198.91K","-6.18%"
"Apr 01, 2020","217.71","207.82","217.71","205.84","205.84K","5.77%"
"Mar 31, 2020","205.84","198.91","208.41","197.03","71.22K","4.00%"
"Mar 30, 2020","197.92","197.63","199.90","184.66","133.23K","2.77%"
"Mar 27, 2020","192.58","197.53","198.52","191.69","109.91K","-3.28%"
"Mar 26, 2020","199.11","200.69","200.69","191.69","54.50K","-0.89%"
"Mar 25, 2020","200.89","221.67","221.67","197.43","72.21K","-4.25%"
"Mar 24, 2020","209.80","201.09","212.77","201.09","86.43K","5.89%"
"Mar 23, 2020","198.12","202.47","202.87","193.37","67.60K","-3.66%"
"Mar 20, 2020","205.64","211.78","221.28","202.67","85.25K","-2.90%"
"Mar 19, 2020","211.78","195.45","215.34","195.45","83.75K","8.68%"
"Mar 18, 2020","194.85","189.21","200.49","186.74","82.31K","3.25%"
"Mar 17, 2020","188.72","196.24","206.04","185.35","150.59K","2.31%"
"Mar 16, 2020","184.46","181.99","184.96","168.73","116.19K","-1.95%"
"Mar 13, 2020","188.13","188.03","197.03","184.96","67.28K","1.39%"
"Mar 12, 2020","185.55","197.82","199.31","183.28","142.98K","-9.94%"
"Mar 11, 2020","206.04","215.34","218.31","206.04","75.26K","-4.32%"
"Mar 10, 2020","215.34","212.77","227.61","212.77","58.75K","1.21%"
"Mar 09, 2020","212.77","197.92","214.74","196.73","199.23K","-2.36%"
"Mar 06, 2020","217.91","224.64","224.64","215.34","75.72K","-3.67%"
"Mar 05, 2020","226.23","236.52","237.70","226.23","151.51K","-3.95%"
"Mar 04, 2020","235.53","222.07","235.53","222.07","271.24K","7.21%"
"Mar 03, 2020","219.69","212.77","222.86","212.77","103.75K","4.23%"
"Mar 02, 2020","210.79","218.31","222.46","210.39","171.19K","-0.75%"
"Feb 28, 2020","212.37","212.57","216.13","208.61","118.38K","-3.85%"
"Feb 27, 2020","220.88","228.40","228.40","220.88","75.02K","-3.63%"
"Feb 26, 2020","229.19","229.59","231.17","222.07","72.91K","-1.03%"
"Feb 25, 2020","231.57","226.23","234.74","226.03","43.33K","0.78%"
"Feb 24, 2020","229.79","236.12","236.12","229.00","38.36K","-3.09%"
"Feb 21, 2020","237.11","236.32","238.89","234.93","47.14K","0.33%"
"Feb 20, 2020","236.32","232.36","237.31","232.36","67.37K","2.05%"
"Feb 19, 2020","231.57","223.85","234.54","223.85","55.97K","1.65%"
"Feb 18, 2020","227.81","224.84","229.99","224.05","58.32K","1.32%"
"Feb 17, 2020","224.84","229.00","230.98","224.24","34.83K","-1.65%"
"Feb 14, 2020","228.60","222.66","228.80","220.68","244.16K","2.94%"
"Feb 13, 2020","222.07","222.66","225.63","218.70","119.16K","-0.88%"
"Feb 12, 2020","224.05","224.64","228.80","221.67","111.88K","0.00%"
"Feb 11, 2020","224.05","227.61","232.76","221.47","292.66K","-6.45%"
