"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2017","1,521.07","1,535.47","1,535.47","1,519.21","-","-1.25%"
"Apr 25, 2017","1,540.36","1,527.79","1,541.28","1,525.41","-","0.63%"
"Apr 24, 2017","1,530.76","1,508.72","1,532.39","1,508.72","-","2.61%"
"Apr 21, 2017","1,491.87","1,496.72","1,498.88","1,488.83","-","-0.87%"
"Apr 20, 2017","1,505.03","1,508.02","1,509.77","1,504.75","-","-0.10%"
"Apr 19, 2017","1,506.59","1,527.80","1,527.80","1,505.93","-","-1.68%"
"Apr 18, 2017","1,532.40","1,539.58","1,545.71","1,528.03","-","-0.95%"
"Apr 17, 2017","1,547.13","1,531.50","1,554.84","1,531.50","-","1.12%"
"Apr 13, 2017","1,530.01","1,545.47","1,551.51","1,528.43","-","-1.05%"
"Apr 12, 2017","1,546.28","1,541.42","1,550.91","1,541.42","-","0.24%"
"Apr 11, 2017","1,542.62","1,539.51","1,544.63","1,534.55","-","0.25%"
"Apr 10, 2017","1,538.70","1,529.33","1,540.96","1,529.33","-","0.75%"
"Apr 07, 2017","1,527.28","1,533.00","1,533.94","1,526.45","-","-0.31%"
"Apr 06, 2017","1,531.96","1,536.63","1,538.90","1,530.14","-","0.22%"
"Apr 05, 2017","1,528.65","1,538.45","1,543.70","1,527.34","-","-0.50%"
"Apr 04, 2017","1,536.31","1,539.74","1,539.74","1,523.35","-","-0.28%"
"Apr 03, 2017","1,540.63","1,539.31","1,541.47","1,532.27","-","0.21%"
"Mar 31, 2017","1,537.42","1,533.42","1,539.38","1,529.59","-","-0.16%"
"Mar 30, 2017","1,539.93","1,547.61","1,550.10","1,539.07","-","-0.43%"
"Mar 29, 2017","1,546.60","1,528.98","1,547.98","1,528.20","-","0.57%"
"Mar 28, 2017","1,537.79","1,527.18","1,543.18","1,522.90","-","0.57%"
"Mar 27, 2017","1,529.01","1,544.89","1,544.89","1,519.32","-","-1.39%"
"Mar 24, 2017","1,550.64","1,546.64","1,554.78","1,546.64","-","0.00%"
"Mar 23, 2017","1,550.60","1,547.30","1,555.37","1,543.19","-","-0.45%"
"Mar 22, 2017","1,557.68","1,566.91","1,566.91","1,553.87","-","-0.91%"
"Mar 21, 2017","1,571.99","1,577.32","1,594.83","1,571.57","-","-0.20%"
"Mar 20, 2017","1,575.08","1,575.24","1,577.90","1,569.40","-","-0.09%"
"Mar 17, 2017","1,576.46","1,571.09","1,580.47","1,571.09","-","0.56%"
"Mar 16, 2017","1,567.73","1,558.10","1,567.90","1,558.10","-","0.68%"
"Mar 15, 2017","1,557.09","1,528.65","1,557.46","1,526.96","-","2.28%"
"Mar 14, 2017","1,522.34","1,544.80","1,544.80","1,519.84","-","-1.91%"
"Mar 13, 2017","1,551.92","1,536.87","1,552.31","1,536.84","-","1.01%"
"Mar 10, 2017","1,536.46","1,526.18","1,538.68","1,526.18","-","0.94%"
"Mar 09, 2017","1,522.11","1,520.04","1,524.03","1,514.77","-","-0.02%"
"Mar 08, 2017","1,522.49","1,538.87","1,546.44","1,521.74","-","-1.53%"
"Mar 07, 2017","1,546.12","1,544.12","1,550.10","1,543.59","-","0.27%"
"Mar 06, 2017","1,541.99","1,546.92","1,546.92","1,536.62","-","-0.53%"
"Mar 03, 2017","1,550.18","1,550.68","1,551.63","1,542.82","-","-0.01%"
"Mar 02, 2017","1,550.27","1,559.79","1,561.96","1,550.27","-","-0.79%"
"Mar 01, 2017","1,562.64","1,556.05","1,565.24","1,555.84","-","0.70%"
"Feb 28, 2017","1,551.80","1,550.49","1,555.47","1,548.88","-","0.16%"
"Feb 27, 2017","1,549.27","1,551.00","1,552.59","1,546.93","-","0.08%"
"Feb 24, 2017","1,548.01","1,562.07","1,562.07","1,543.36","-","-1.07%"
"Feb 23, 2017","1,564.71","1,572.66","1,577.17","1,563.49","-","-0.04%"
