Date, Close/Last, Volume, Open, High, Low
10/25/2017, 2231.5, N/A, 2231.5, 2231.5, 2231.5
10/24/2017, 2231.5, N/A, 2231.5, 2231.5, 2231.5
10/23/2017, 2231.5, N/A, 2231.5, 2231.5, 2231.5
10/20/2017, 2231.5, N/A, 2231.5, 2231.5, 2231.5
10/19/2017, 2231.5, N/A, 2231.5, 2231.5, 2231.5
10/18/2017, 2195, N/A, 2195, 2195, 2195
10/17/2017, 2216.75, N/A, 2216.75, 2216.75, 2216.75
10/16/2017, 2242.75, N/A, 2242.75, 2242.75, 2242.75
10/13/2017, 2242.75, N/A, 2242.75, 2242.75, 2242.75
10/12/2017, 2242.75, N/A, 2242.75, 2242.75, 2242.75
10/11/2017, 2242.75, N/A, 2242.75, 2242.75, 2242.75
10/10/2017, 2242.75, N/A, 2242.75, 2242.75, 2242.75
10/09/2017, 2242.75, N/A, 2242.75, 2242.75, 2242.75
10/06/2017, 2227.25, N/A, 2227.25, 2227.25, 2227.25
10/05/2017, 2246.75, N/A, 2246.75, 2246.75, 2246.75
10/04/2017, 2231.5, N/A, 2231.5, 2231.5, 2231.5
10/03/2017, 2194.75, N/A, 2194.75, 2194.75, 2194.75
10/02/2017, 2175, N/A, 2175, 2175, 2175
09/29/2017, 2192.75, N/A, 2192.75, 2192.75, 2192.75
09/28/2017, 2198, N/A, 2198, 2198, 2198
09/27/2017, 2194.75, N/A, 2194.75, 2194.75, 2194.75
09/26/2017, 2191.25, 10, 2191.25, 2191.25, 2191.25
09/25/2017, 2213.5, N/A, 2213.5, 2213.5, 2213.5
09/22/2017, 2213.75, N/A, 2213.75, 2213.75, 2213.75
09/21/2017, 2227, 10, 2227, 2227, 2227
09/20/2017, 2234.5, N/A, 2234.5, 2234.5, 2234.5
09/19/2017, 2184, N/A, 2184, 2184, 2184
09/18/2017, 2145, N/A, 2145, 2145, 2145
09/15/2017, 2150.25, 10, 2151, 2151, 2144
09/14/2017, 2162.25, 2, 2160, 2160, 2156
09/13/2017, 2162.25, 10, 2162.25, 2162.25, 2162.25
09/12/2017, 2185.25, N/A, 2185.25, 2185.25, 2185.25
09/11/2017, 2182.25, N/A, 2182.25, 2182.25, 2182.25
09/08/2017, 2149.75, N/A, 2149.75, 2149.75, 2149.75
09/07/2017, 2163, N/A, 2163, 2163, 2163
09/06/2017, 2163, N/A, 2163, 2163, 2163
09/05/2017, 2163, N/A, 2163, 2163, 2163
09/01/2017, 2202.75, N/A, 2202.75, 2202.75, 2202.75
08/31/2017, 2177, N/A, 2177, 2177, 2177
08/30/2017, 2161.75, 10, 2164.75, 2164.75, 2164.75
08/29/2017, 2130.5, N/A, 2130.5, 2130.5, 2130.5
08/28/2017, 2130.5, N/A, 2130.5, 2130.5, 2130.5
08/25/2017, 2130.5, N/A, 2130.5, 2130.5, 2130.5
08/24/2017, 2173, N/A, 2173, 2173, 2173
08/23/2017, 2164, N/A, 2164, 2164, 2164
08/22/2017, 2140.25, N/A, 2140.25, 2140.25, 2140.25
08/21/2017, 2147, N/A, 2147, 2147, 2147
08/18/2017, 2131.25, N/A, 2131.25, 2131.25, 2131.25
08/17/2017, 2144.25, N/A, 2144.25, 2144.25, 2144.25
08/16/2017, 2153.75, N/A, 2153.75, 2153.75, 2153.75
08/15/2017, 2104.25, N/A, 2104.25, 2104.25, 2104.25
08/14/2017, 2093.25, 4, 2102.25, 2102.25, 2091.25
08/11/2017, 2108.5, N/A, 2108.5, 2108.5, 2108.5
08/10/2017, 2108.5, N/A, 2108.5, 2108.5, 2108.5
08/09/2017, 2088.25, N/A, 2088.25, 2088.25, 2088.25
08/08/2017, 2099.5, N/A, 2099.5, 2099.5, 2099.5
08/07/2017, 2023, 10, 2007.75, 2007.75, 2007.75
08/04/2017, 1988.75, N/A, 1988.75, 1988.75, 1988.75
08/03/2017, 1983.25, N/A, 1983.25, 1983.25, 1983.25
08/02/2017, 1990.25, N/A, 1990.25, 1990.25, 1990.25
08/01/2017, 1971.25, N/A, 1971.25, 1971.25, 1971.25
07/31/2017, 1983, N/A, 1983, 1983, 1983
07/28/2017, 1977.25, N/A, 1977.25, 1977.25, 1977.25
07/27/2017, 2005.75, N/A, 2005.75, 2005.75, 2005.75
07/26/2017, 2005.5, N/A, 2005.5, 2005.5, 2005.5
07/25/2017, 2003.25, N/A, 2003.25, 2003.25, 2003.25
07/24/2017, 1984.75, N/A, 1984.75, 1984.75, 1984.75
07/21/2017, 1987.75, N/A, 1987.75, 1987.75, 1987.75
07/20/2017, 1988, N/A, 1988, 1988, 1988
07/19/2017, 1990.25, N/A, 1990.25, 1990.25, 1990.25
07/18/2017, 2004, 20, 1995.75, 1995.75, 1995.75
07/17/2017, 1984.25, N/A, 1984.25, 1984.25, 1984.25
07/14/2017, 1995, N/A, 1995, 1995, 1995
07/13/2017, 1993.5, N/A, 1993.5, 1993.5, 1993.5
07/12/2017, 1954.5, N/A, 1954.5, 1954.5, 1954.5
07/11/2017, 1967.75, N/A, 1967.75, 1967.75, 1967.75
07/10/2017, 1976.75, N/A, 1976.75, 1976.75, 1976.75
07/07/2017, 1997.5, N/A, 1997.5, 1997.5, 1997.5
07/06/2017, 2009.25, N/A, 2009.25, 2009.25, 2009.25
07/05/2017, 1994.75, N/A, 1994.75, 1994.75, 1994.75
07/03/2017, 1996.5, N/A, 1996.5, 1996.5, 1996.5
06/30/2017, 1984.5, N/A, 1984.5, 1984.5, 1984.5
06/29/2017, 1982.25, N/A, 1982.25, 1982.25, 1982.25
06/28/2017, 1963.5, N/A, 1963.5, 1963.5, 1963.5
06/27/2017, 1951.75, N/A, 1951.75, 1951.75, 1951.75
06/26/2017, 1928.25, N/A, 1928.25, 1928.25, 1928.25
06/23/2017, 1934, N/A, 1934, 1934, 1934
06/22/2017, 1937, N/A, 1937, 1937, 1937
06/21/2017, 1937, N/A, 1937, 1937, 1937
06/20/2017, 1956.75, N/A, 1956.75, 1956.75, 1956.75
06/19/2017, 1955.75, N/A, 1955.75, 1955.75, 1955.75
06/16/2017, 1943.25, N/A, 1943.25, 1943.25, 1943.25
06/15/2017, 1951.75, N/A, 1951.75, 1951.75, 1951.75
06/14/2017, 1954.25, N/A, 1954.25, 1954.25, 1954.25
06/13/2017, 1954.25, N/A, 1954.25, 1954.25, 1954.25
06/12/2017, 1953.25, N/A, 1953.25, 1953.25, 1953.25
06/09/2017, 1970.75, N/A, 1970.75, 1970.75, 1970.75
06/08/2017, 1966.75, N/A, 1966.75, 1966.75, 1966.75
06/07/2017, 1970.75, N/A, 1970.75, 1970.75, 1970.75
06/06/2017, 1963.75, N/A, 1963.75, 1963.75, 1963.75
06/05/2017, 1968.25, N/A, 1968.25, 1968.25, 1968.25
06/02/2017, 1995.75, N/A, 1995.75, 1995.75, 1995.75
06/01/2017, 1999.25, N/A, 1999.25, 1999.25, 1999.25
05/31/2017, 1999.75, N/A, 1999.75, 1999.75, 1999.75
05/30/2017, 1985, N/A, 1985, 1985, 1985
05/26/2017, 2021, N/A, 2021, 2021, 2021
05/25/2017, 2028.25, 30, 2034, 2034, 2025.5
05/24/2017, 2021.25, 20, 2029.5, 2029.5, 2027.25
05/23/2017, 2018.5, N/A, 2018.5, 2018.5, 2018.5
05/22/2017, 2016.75, N/A, 2016.75, 2016.75, 2016.75
05/19/2017, 2022.75, 50, 2028.25, 2028.25, 2017.5
05/18/2017, 2008.75, N/A, 2008.75, 2008.75, 2008.75
05/17/2017, 2013, N/A, 2013, 2013, 2013
05/16/2017, 2011, N/A, 2011, 2011, 2011
05/15/2017, 1994.75, N/A, 1994.75, 1994.75, 1994.75
05/12/2017, 1985, 10, 1972.25, 1972.25, 1972.25
05/11/2017, 1964.25, N/A, 1964.25, 1964.25, 1964.25
05/10/2017, 1956, N/A, 1956, 1956, 1956
05/09/2017, 1959.25, N/A, 1959.25, 1959.25, 1959.25
05/08/2017, 1966.25, N/A, 1966.25, 1966.25, 1966.25
05/05/2017, 1994.75, N/A, 1994.75, 1994.75, 1994.75
05/04/2017, 2003.25, N/A, 2003.25, 2003.25, 2003.25
05/03/2017, 2015.25, N/A, 2015.25, 2015.25, 2015.25
05/02/2017, 2019.25, N/A, 2019.25, 2019.25, 2019.25
05/01/2017, 1997.5, N/A, 1997.5, 1997.5, 1997.5
04/28/2017, 1997.5, N/A, 1997.5, 1997.5, 1997.5
04/27/2017, 1994.75, N/A, 1994.75, 1994.75, 1994.75
04/26/2017, 2030.75, N/A, 2030.75, 2030.75, 2030.75
04/25/2017, 2020.5, N/A, 2020.5, 2020.5, 2020.5
04/24/2017, 2002.5, 6, 2003, 2008.75, 2003
04/21/2017, 1992.75, 30, 1992.75, 1992.75, 1992.75
04/20/2017, 1998.25, N/A, 1998.25, 1998.25, 1998.25
04/19/2017, 1960.75, N/A, 1960.75, 1960.75, 1960.75
04/18/2017, 1948.5, N/A, 1948.5, 1948.5, 1948.5
04/17/2017, 1964, N/A, 1964, 1964, 1964
04/13/2017, 1964, N/A, 1964, 1964, 1964
04/12/2017, 1954, N/A, 1954, 1954, 1954
04/11/2017, 1975, N/A, 1975, 1975, 1975
04/10/2017, 1977.75, N/A, 1977.75, 1977.75, 1977.75
04/07/2017, 2027.25, N/A, 2027.25, 2027.25, 2027.25
04/06/2017, 2029, 40, 2029, 2029, 2029
04/05/2017, 2014.25, N/A, 2014.25, 2014.25, 2014.25
04/04/2017, 2014.25, N/A, 2014.25, 2014.25, 2014.25
04/03/2017, 2024.25, N/A, 2024.25, 2024.25, 2024.25
03/31/2017, 2032.75, 1, 2040, 2040, 2040
03/30/2017, 2041.75, 1, 2028.75, 2028.75, 2028.75
03/29/2017, 2028.75, N/A, 2028.75, 2028.75, 2028.75
03/28/2017, 2019.75, N/A, 2019.75, 2019.75, 2019.75
03/27/2017, 2004.25, 50, 2004.25, 2004.25, 2004.25
03/24/2017, 2016, N/A, 2016, 2016, 2016
03/23/2017, 2001.25, N/A, 2001.25, 2001.25, 2001.25
03/22/2017, 2001.25, N/A, 2001.25, 2001.25, 2001.25
03/21/2017, 2011.5, N/A, 2011.5, 2011.5, 2011.5
03/20/2017, 2004.25, N/A, 2004.25, 2004.25, 2004.25
03/17/2017, 1994.25, N/A, 1994.25, 1994.25, 1994.25
03/16/2017, 1944, N/A, 1944, 1944, 1944
03/15/2017, 1954.25, N/A, 1954.25, 1954.25, 1954.25
03/14/2017, 1953, N/A, 1953, 1953, 1953
03/13/2017, 1967.25, N/A, 1967.25, 1967.25, 1967.25
03/10/2017, 1957, 10, 1954.25, 1954.25, 1954.25
03/09/2017, 1950, N/A, 1950, 1950, 1950
03/08/2017, 1958, 10, 1948.5, 1948.5, 1948.5
03/07/2017, 1950.5, 40, 1953.25, 1953.25, 1949.75
03/06/2017, 1958, 70, 1956.75, 1956.75, 1956.75
