"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 13, 2017","11,095.00","11,107.50","11,222.50","11,082.50","-","-0.11%"
"Dec 12, 2017","11,107.50","11,182.50","11,225.00","10,980.00","-","-0.94%"
"Dec 11, 2017","11,212.50","10,950.00","11,232.50","10,845.00","-","2.40%"
"Dec 08, 2017","10,950.00","10,985.00","11,137.50","10,875.00","-","-0.48%"
"Dec 07, 2017","11,002.50","10,827.50","11,032.50","10,742.50","-","1.66%"
"Dec 06, 2017","10,822.50","10,897.50","10,927.50","10,757.50","-","-0.78%"
"Dec 05, 2017","10,907.50","11,365.00","11,380.00","10,867.50","-","-4.17%"
"Dec 04, 2017","11,382.50","11,342.50","11,467.50","11,277.50","-","0.60%"
"Dec 01, 2017","11,315.00","11,172.50","11,425.00","10,942.50","-","1.55%"
"Nov 30, 2017","11,142.50","11,420.00","11,442.50","11,112.50","-","-2.52%"
"Nov 29, 2017","11,430.00","11,362.50","11,497.50","11,285.00","-","0.44%"
"Nov 28, 2017","11,380.00","11,602.50","11,642.50","11,267.50","-","-1.79%"
"Nov 27, 2017","11,587.50","11,995.00","12,020.00","11,577.50","-","-3.70%"
"Nov 24, 2017","12,032.50","11,925.00","12,095.00","11,895.00","-","0.96%"
"Nov 23, 2017","11,917.50","11,877.50","11,942.50","11,660.00","-","0.51%"
"Nov 22, 2017","11,857.50","11,792.50","11,945.00","11,660.00","-","0.04%"
"Nov 21, 2017","11,852.50","11,667.50","11,877.50","11,612.50","-","1.56%"
"Nov 20, 2017","11,670.00","11,582.50","11,707.50","11,452.50","-","0.63%"
"Nov 17, 2017","11,597.50","11,447.50","11,635.00","11,425.00","-","1.84%"
"Nov 16, 2017","11,387.50","11,665.00","11,752.50","11,320.00","-","-2.27%"
"Nov 15, 2017","11,652.50","11,847.50","11,852.50","11,472.50","-","-1.27%"
"Nov 14, 2017","11,802.50","12,487.50","12,580.00","11,760.00","-","-5.56%"
"Nov 13, 2017","12,497.50","12,137.50","12,547.50","12,135.00","-","3.31%"
"Nov 10, 2017","12,097.50","12,307.50","12,447.50","12,072.50","-","-1.55%"
"Nov 09, 2017","12,287.50","12,660.00","12,680.00","12,190.00","-","-3.23%"
"Nov 08, 2017","12,697.50","12,647.50","12,722.50","12,522.50","-","0.32%"
"Nov 07, 2017","12,657.50","12,922.50","12,930.00","12,542.50","-","-2.24%"
"Nov 06, 2017","12,947.50","12,732.50","12,967.50","12,665.00","-","1.93%"
"Nov 03, 2017","12,702.50","12,617.50","12,792.50","12,517.50","-","1.11%"
"Nov 02, 2017","12,562.50","12,727.50","12,915.00","12,367.50","-","-1.18%"
"Nov 01, 2017","12,712.50","12,497.50","13,032.50","12,497.50","-","2.33%"
"Oct 31, 2017","12,422.50","11,592.50","12,560.00","11,555.00","-","6.65%"
"Oct 30, 2017","11,647.50","11,577.50","11,687.50","11,460.00","-","0.65%"
"Oct 27, 2017","11,572.50","11,752.50","11,752.50","11,355.00","-","-1.59%"
"Oct 26, 2017","11,760.00","11,857.50","11,975.00","11,645.00","-","-0.80%"
"Oct 25, 2017","11,855.00","12,032.50","12,085.00","11,792.50","-","-1.52%"
"Oct 24, 2017","12,037.50","11,892.50","12,082.50","11,880.00","-","1.11%"
"Oct 23, 2017","11,905.00","11,715.00","11,927.50","11,665.00","-","1.43%"
"Oct 20, 2017","11,737.50","11,767.50","12,162.50","11,650.00","-","-0.25%"
"Oct 19, 2017","11,767.50","11,632.50","11,790.00","11,582.50","-","1.18%"
"Oct 18, 2017","11,630.00","11,765.00","11,857.50","11,597.50","-","-1.17%"
"Oct 17, 2017","11,767.50","11,865.00","11,892.50","11,612.50","-","-0.88%"
"Oct 16, 2017","11,872.50","11,705.00","11,927.50","11,582.50","-","1.34%"
"Oct 13, 2017","11,715.00","11,415.00","11,742.50","11,367.50","-","2.70%"
"Oct 12, 2017","11,407.50","11,200.00","11,425.00","11,137.50","-","2.01%"
"Oct 11, 2017","11,182.50","11,027.50","11,240.00","10,887.50","-","1.36%"
"Oct 10, 2017","11,032.50","10,995.00","11,052.50","10,830.00","-","0.36%"
"Oct 09, 2017","10,992.50","10,577.50","11,012.50","10,562.50","-","3.90%"
"Oct 06, 2017","10,580.00","10,590.00","10,692.50","10,512.50","-","0.05%"
"Oct 05, 2017","10,575.00","10,607.50","10,702.50","10,517.50","-","0.07%"
"Oct 04, 2017","10,567.50","10,740.00","10,840.00","10,567.50","-","-1.54%"
"Oct 03, 2017","10,732.50","10,457.50","10,775.00","10,430.00","-","2.70%"
"Oct 02, 2017","10,450.00","10,547.50","10,595.00","10,272.50","-","-0.71%"
"Sep 29, 2017","10,525.00","10,455.00","10,832.50","10,372.50","-","0.65%"
"Sep 28, 2017","10,457.50","10,295.00","10,522.50","10,230.00","-","1.75%"
"Sep 27, 2017","10,277.50","10,455.00","10,617.50","10,212.50","-","-1.72%"
"Sep 26, 2017","10,457.50","10,625.00","10,680.00","10,412.50","-","-1.46%"
"Sep 25, 2017","10,612.50","10,622.50","10,652.50","10,442.50","-","-0.19%"
"Sep 22, 2017","10,632.50","10,722.50","10,825.00","10,432.50","-","-0.79%"
"Sep 21, 2017","10,717.50","11,342.50","11,352.50","10,622.50","-","-5.70%"
"Sep 20, 2017","11,365.00","11,147.50","11,482.50","11,145.00","-","2.07%"
"Sep 19, 2017","11,135.00","11,212.50","11,237.50","10,877.50","-","-0.31%"
"Sep 18, 2017","11,170.00","11,150.00","11,260.00","11,060.00","-","0.40%"
"Sep 15, 2017","11,125.00","11,222.50","11,267.50","10,850.00","-","-0.71%"
"Sep 14, 2017","11,205.00","11,422.50","11,517.50","11,115.00","-","-1.99%"
"Sep 13, 2017","11,432.50","11,915.00","11,972.50","11,337.50","-","-4.09%"
"Sep 12, 2017","11,920.00","11,845.00","11,972.50","11,587.50","-","0.74%"
"Sep 11, 2017","11,832.50","11,492.50","11,837.50","11,442.50","-","3.00%"
"Sep 08, 2017","11,487.50","12,292.50","12,367.50","11,470.00","-","-5.72%"
"Sep 07, 2017","12,185.00","12,217.50","12,315.00","12,007.50","-","-0.51%"
"Sep 06, 2017","12,247.50","11,977.50","12,252.50","11,907.50","-","2.19%"
"Sep 05, 2017","11,985.00","12,260.00","12,320.00","11,920.00","-","-2.38%"
"Sep 04, 2017","12,277.50","12,145.00","12,380.00","12,117.50","-","1.15%"
"Sep 01, 2017","12,137.50","11,780.00","12,147.50","11,750.00","-","3.03%"
"Aug 31, 2017","11,780.00","11,597.50","11,812.50","11,592.50","-","1.49%"
"Aug 30, 2017","11,607.50","11,712.50","11,792.50","11,562.50","-","-1.02%"
"Aug 29, 2017","11,727.50","11,727.50","11,887.50","11,602.50","-","2.33%"
"Aug 25, 2017","11,460.00","11,730.00","11,735.00","11,395.00","-","-2.39%"
"Aug 24, 2017","11,740.00","11,765.00","11,782.50","11,610.00","-","-0.40%"
"Aug 23, 2017","11,787.50","11,445.00","11,827.50","11,225.00","-","3.04%"
"Aug 22, 2017","11,440.00","11,342.50","11,557.50","11,237.50","-","0.82%"
"Aug 21, 2017","11,347.50","11,007.50","11,355.00","10,975.00","-","3.16%"
"Aug 18, 2017","11,000.00","10,672.50","11,052.50","10,615.00","-","3.02%"
"Aug 17, 2017","10,677.50","10,722.50","10,872.50","10,640.00","-","-0.42%"
"Aug 16, 2017","10,722.50","10,350.00","10,832.50","10,345.00","-","3.75%"
"Aug 15, 2017","10,335.00","10,430.00","10,507.50","10,335.00","-","-0.89%"
"Aug 14, 2017","10,427.50","10,632.50","10,725.00","10,387.50","-","-2.00%"
"Aug 11, 2017","10,640.00","10,877.50","10,900.00","10,537.50","-","-2.14%"
"Aug 10, 2017","10,872.50","10,752.50","10,987.50","10,727.50","-","1.09%"
"Aug 09, 2017","10,755.00","10,767.50","10,835.00","10,672.50","-","0.12%"
"Aug 08, 2017","10,742.50","10,377.50","10,777.50","10,260.00","-","3.49%"
"Aug 07, 2017","10,380.00","10,330.00","10,415.00","10,247.50","-","0.46%"
"Aug 04, 2017","10,332.50","10,372.50","10,412.50","10,180.00","-","-0.43%"
"Aug 03, 2017","10,377.50","10,337.50","10,447.50","10,247.50","-","0.34%"
"Aug 02, 2017","10,342.50","10,270.00","10,352.50","10,137.50","-","1.10%"
"Aug 01, 2017","10,230.00","10,227.50","10,297.50","10,087.50","-","0.07%"
"Jul 31, 2017","10,222.50","10,272.50","10,352.50","10,182.50","-","-0.58%"
"Jul 28, 2017","10,282.50","10,147.50","10,287.50","10,022.50","-","1.33%"
"Jul 27, 2017","10,147.50","9,980.00","10,217.50","9,977.50","-","1.75%"
"Jul 26, 2017","9,972.50","10,017.50","10,082.50","9,852.50","-","-0.50%"
"Jul 25, 2017","10,022.50","9,760.00","10,022.50","9,732.50","-","2.72%"
"Jul 24, 2017","9,757.50","9,537.50","9,777.50","9,477.50","-","2.20%"
"Jul 21, 2017","9,547.50","9,512.50","9,687.50","9,490.00","-","0.34%"
"Jul 20, 2017","9,515.00","9,645.00","9,687.50","9,462.50","-","-1.37%"
"Jul 19, 2017","9,647.50","9,730.00","9,777.50","9,632.50","-","-0.85%"
"Jul 18, 2017","9,730.00","9,615.00","9,770.00","9,557.50","-","1.17%"
"Jul 17, 2017","9,617.50","9,547.50","9,727.50","9,522.50","-","0.84%"
"Jul 14, 2017","9,537.50","9,185.00","9,572.50","9,175.00","-","3.87%"
"Jul 13, 2017","9,182.50","9,205.00","9,277.50","9,160.00","-","-0.22%"
"Jul 12, 2017","9,202.50","9,172.50","9,287.50","9,162.50","-","0.27%"
"Jul 11, 2017","9,177.50","8,997.50","9,207.50","8,972.50","-","1.83%"
"Jul 10, 2017","9,012.50","8,975.00","9,032.50","8,870.00","-","0.33%"
"Jul 07, 2017","8,982.50","9,105.00","9,105.00","8,917.50","-","-1.26%"
"Jul 06, 2017","9,097.50","9,137.50","9,172.50","9,072.50","-","-0.46%"
"Jul 05, 2017","9,140.00","9,162.50","9,202.50","9,067.50","-","-0.25%"
"Jul 04, 2017","9,162.50","9,345.00","9,345.00","9,112.50","-","-1.82%"
"Jul 03, 2017","9,332.50","9,375.00","9,442.50","9,297.50","-","-0.43%"
"Jun 30, 2017","9,372.50","9,272.50","9,377.50","9,215.00","-","1.19%"
"Jun 29, 2017","9,262.50","9,242.50","9,365.00","9,242.50","-","0.22%"
"Jun 28, 2017","9,242.50","9,232.50","9,292.50","9,172.50","-","0.16%"
"Jun 27, 2017","9,227.50","9,027.50","9,262.50","9,027.50","-","2.22%"
"Jun 26, 2017","9,027.50","9,107.50","9,152.50","9,007.50","-","-0.82%"
"Jun 23, 2017","9,102.50","9,057.50","9,227.50","9,027.50","-","0.55%"
"Jun 22, 2017","9,052.50","8,970.00","9,092.50","8,905.00","-","0.89%"
"Jun 21, 2017","8,972.50","8,875.00","9,017.50","8,857.50","-","1.04%"
"Jun 20, 2017","8,880.00","9,007.50","9,087.50","8,827.50","-","-1.47%"
"Jun 19, 2017","9,012.50","8,935.00","9,122.50","8,847.50","-","0.84%"
"Jun 16, 2017","8,937.50","8,890.00","8,990.00","8,880.00","-","0.45%"
"Jun 15, 2017","8,897.50","8,885.00","8,967.50","8,847.50","-","0.06%"
"Jun 14, 2017","8,892.50","8,810.00","8,942.50","8,770.00","-","0.99%"
"Jun 13, 2017","8,805.00","8,745.00","8,832.50","8,682.50","-","0.66%"
"Jun 12, 2017","8,747.50","8,965.00","9,042.50","8,742.50","-","-2.34%"
"Jun 09, 2017","8,957.50","8,837.50","8,985.00","8,792.50","-","1.42%"
"Jun 08, 2017","8,832.50","8,827.50","8,905.00","8,762.50","-","0.17%"
"Jun 07, 2017","8,817.50","8,917.50","8,962.50","8,812.50","-","-1.12%"
"Jun 06, 2017","8,917.50","8,870.00","9,002.50","8,842.50","-","0.62%"
"Jun 05, 2017","8,862.50","8,915.00","8,942.50","8,840.00","-","-0.51%"
