Date 	Price 	Open 	High 	Low 	Vol. 	Change %
Sep 21, 2018 	926.63 	926.63 	926.63 	926.63 	- 	0.70%
Sep 20, 2018 	920.21 	920.21 	920.21 	920.21 	- 	0.26%
Sep 19, 2018 	917.83 	917.83 	917.83 	917.83 	- 	-0.37%
Sep 18, 2018 	921.22 	921.22 	921.22 	921.22 	- 	0.79%
Sep 17, 2018 	913.98 	913.98 	913.98 	913.98 	- 	0.38%
Sep 14, 2018 	910.49 	910.49 	910.49 	910.49 	- 	0.06%
Sep 13, 2018 	909.90 	909.90 	909.90 	909.90 	- 	0.16%
Sep 12, 2018 	908.49 	908.49 	908.49 	908.49 	- 	0.20%
Sep 11, 2018 	906.67 	906.67 	906.67 	906.67 	- 	0.28%
Sep 10, 2018 	904.13 	904.13 	904.13 	904.13 	- 	0.59%
Sep 07, 2018 	898.81 	898.81 	898.81 	898.81 	- 	-0.45%
Sep 06, 2018 	902.89 	902.89 	902.89 	902.89 	- 	0.59%
Sep 05, 2018 	897.62 	897.62 	897.62 	897.62 	- 	-0.97%
Sep 04, 2018 	906.38 	906.38 	906.38 	906.38 	- 	-0.38%
Sep 03, 2018 	909.87 	909.87 	909.87 	909.87 	- 	0.14%
Aug 31, 2018 	908.63 	908.63 	908.63 	908.63 	- 	-0.78%
Aug 30, 2018 	915.81 	915.81 	915.81 	915.81 	- 	-0.63%
Aug 29, 2018 	921.65 	921.65 	921.65 	921.65 	- 	0.16%
Aug 28, 2018 	920.22 	920.22 	920.22 	920.22 	- 	0.42%
Aug 27, 2018 	916.35 	916.35 	916.35 	916.35 	- 	0.80%
Aug 24, 2018 	909.12 	909.12 	909.12 	909.12 	- 	0.23%
Aug 23, 2018 	907.03 	907.03 	907.03 	907.03 	- 	-0.16%
Aug 22, 2018 	908.52 	908.52 	908.52 	908.52 	- 	0.39%
Aug 21, 2018 	904.98 	904.98 	904.98 	904.98 	- 	-0.02%
Aug 20, 2018 	905.14 	905.14 	905.14 	905.14 	- 	1.57%
Aug 17, 2018 	891.17 	891.17 	891.17 	891.17 	- 	0.21%
Aug 16, 2018 	889.27 	889.27 	889.27 	889.27 	- 	0.54%
Aug 15, 2018 	884.52 	884.52 	884.52 	884.52 	- 	-1.11%
Aug 14, 2018 	894.47 	894.47 	894.47 	894.47 	- 	-0.37%
Aug 13, 2018 	897.80 	897.80 	897.80 	897.80 	- 	0.08%
Aug 10, 2018 	897.05 	897.05 	897.05 	897.05 	- 	-1.18%
Aug 09, 2018 	907.74 	907.74 	907.74 	907.74 	- 	0.27%
Aug 08, 2018 	905.33 	905.33 	905.33 	905.33 	- 	0.15%
Aug 07, 2018 	903.96 	903.96 	903.96 	903.96 	- 	1.70%
Aug 06, 2018 	888.88 	888.88 	888.88 	888.88 	- 	-0.24%
Aug 03, 2018 	891.06 	891.06 	891.06 	891.06 	- 	0.39%
Aug 02, 2018 	887.56 	887.56 	887.56 	887.56 	- 	-0.38%
Aug 01, 2018 	890.92 	890.92 	890.92 	890.92 	- 	-0.32%
Jul 31, 2018 	893.81 	893.81 	893.81 	893.81 	- 	0.69%
Jul 30, 2018 	887.72 	887.72 	887.72 	887.72 	- 	-0.29%
Jul 27, 2018 	890.30 	890.30 	890.30 	890.30 	- 	1.17%
Jul 26, 2018 	880.03 	880.03 	880.03 	880.03 	- 	-0.36%
Jul 25, 2018 	883.22 	883.22 	883.22 	883.22 	- 	0.43%
Jul 24, 2018 	879.44 	879.44 	879.44 	879.44 	- 	0.32%
Jul 23, 2018 	876.63 	876.63 	876.63 	876.63 	- 	0.29%
Jul 20, 2018 	874.07 	874.07 	874.07 	874.07 	- 	0.09%
Jul 19, 2018 	873.31 	873.31 	873.31 	873.31 	- 	0.05%
Jul 18, 2018 	872.90 	872.90 	872.90 	872.90 	- 	0.38%
Jul 17, 2018 	869.61 	869.61 	869.61 	869.61 	- 	0.69%
Jul 16, 2018 	863.69 	863.69 	863.69 	863.69 	- 	-0.89%
Jul 13, 2018 	871.42 	871.42 	871.42 	871.42 	- 	-1.50%
Jul 12, 2018 	884.69 	884.69 	884.69 	884.69 	- 	-1.23%
Jul 11, 2018 	895.71 	895.71 	895.71 	895.71 	- 	-0.85%
Jul 10, 2018 	903.36 	903.36 	903.36 	903.36 	- 	1.07%
Jul 09, 2018 	893.81 	893.81 	893.81 	893.81 	- 	1.12%
Jul 06, 2018 	883.92 	883.92 	883.92 	883.92 	- 	-0.59%
Jul 05, 2018 	889.19 	889.19 	889.19 	889.19 	- 	0.53%
Jul 04, 2018 	884.53 	884.53 	884.53 	884.53 	- 	0.26%
Jul 03, 2018 	882.26 	882.26 	882.26 	882.26 	- 	0.70%
Jul 02, 2018 	876.17 	876.17 	876.17 	876.17 	- 	-0.72%
Jun 29, 2018 	882.48 	882.48 	882.48 	882.48 	- 	0.17%
Jun 28, 2018 	881.02 	881.02 	881.02 	881.02 	- 	-0.73%
Jun 27, 2018 	887.53 	887.53 	887.53 	887.53 	- 	1.35%
Jun 26, 2018 	875.73 	875.73 	875.73 	875.73 	- 	0.11%
Jun 25, 2018 	874.75 	874.75 	874.75 	874.75 	- 	-1.22%
Jun 22, 2018 	885.52 	885.52 	885.52 	885.52 	- 	0.91%
Jun 21, 2018 	877.50 	877.50 	877.50 	877.50 	- 	-1.20%
