EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 1051,109748,TAFJORD                                 ,NO,+62:14:01,+007:25:00,  15,TG21,19300617,20201231,   22,Hans Olav Hygen                                   
 1051,199163,VALLDAL - MURI                          ,NO,+62:17:49,+007:15:09,   2,TG21,20140901,20201231,   22,Hans Olav Hygen                                   
 1051,901218,TAFJORD                                 ,NO,+62:14:00,+007:25:00,  17, TG5,19820113,20200228,     ,                    
 1049,109770,TAKLE                                   ,NO,+61:01:36,+005:23:06,  38,TG21,19500602,20201231,   22,Hans Olav Hygen                                   
 2216,109779,SLETTNES FYR                            ,NO,+71:05:02,+028:13:04,   8,TG21,19560826,20201231,   22,Hans Olav Hygen                                   
 2216,901078,SLETTNES LH                             ,NO,+71:05:59,+028:14:00,  10, TG5,19820114,20200229,     ,                    
 2587,109824,RADE - TOMB                             ,NO,+59:19:00,+010:49:00,  14,TG21,19570101,20201231,   22,Hans Olav Hygen                                   
 2587,199294,RYGGE - HUGGENES                        ,NO,+59:23:53,+010:45:15,  35,TG21,20130213,20201231,   22,Hans Olav Hygen                                   
 2587,200741,ROED I RADE                             ,NO,+59:20:25,+010:53:42,  34,TG21,19591001,19711230,   22,Hans Olav Hygen                                   
 2589,109842,RYGGE                                   ,NO,+58:22:59,+010:47:18,  40,TG21,19550301,20201231,   22,Hans Olav Hygen                                   
